brand,product_code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
Nestlé,7613039490266,Nesquik,383.8,1605.82,78.9,75.1,3.6,1.6,5.1,7.7,0.41,0.16,4.0,9.0,0.0,0.95,High,High,True
"Nestlé, Maggi",3033710084913,Arome MAGGI,70.7,295.81,6.5,3.5,0.5,0.1,9.8,0.5,18.3,7.32,4.0,2.8,0.0,0.54,Low,Low,True
Menguy's,3327272107969,Menguy's Peanut 100%,610.0,2552.24,13.0,6.2,48.0,5.8,28.0,7.0,0.05,0.02,1.0,-8.0,100.0,0.48,High,Medium,False
Unknown Brand,6111246250013,Unknown Product,5.2,21.76,0.0,0.0,0.0,0.0,0.0,2.6,14.36,5.74,4.0,0.8,0.0,0.0,Low,Low,True
Maple joe,3088542500285,Sirop d'érable ambré goût riche,18.76,78.49,4.69,2.2,0.0,0.0,0.0,0.0,14.6,5.84,2.0,11.6,0.0,0.47,Low,Low,False
La boulangere,3760049791006,Tartines campagne 450g,273.9,1146.0,43.0,2.6,6.5,0.5,8.9,3.9,1.2,0.48,4.0,4.0,10.03,0.06,Medium,Low,True
Ferrero,4008400404127,Nutella,538.5,2253.08,57.5,56.3,30.9,10.6,6.3,2.6,0.11,0.04,4.0,31.0,13.0,0.98,High,High,True
Jaouda,6111242101272,Muscly la force pour grandir,160.7,672.37,15.7,15.7,7.5,0.0,7.6,0.0,0.0,0.0,4.0,3.0,0.0,1.0,Medium,High,True
Dark Excellente,8410510012196,Chocolat Noir 92% cacao,60.9,254.81,1.4,1.0,4.9,3.3,1.5,2.6,0.0,0.0,4.0,19.0,2.48,0.71,Low,Low,True
"Maître Jean Pierre, Lidl",4056489007180,pain de mie grandes tranches spécial sandwich complet,258.3,1080.73,43.0,5.0,4.5,0.5,8.3,6.3,1.0,0.4,4.0,2.0,4.5,0.12,Medium,Low,True
